too long...

root@comp3134-Winter2023:~# tcpdump -i eth0 port 22

net.cable.rogers.com.59547: Flags [P.], seq 5218036:5218248, ack 2737, win 570, length 212
20:35:29.294389 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5276232:5276444, ack 2773, win 570, length 212
20:35:29.294549 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5276444:5276656, ack 2773, win 570, length 212
20:35:29.294594 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5276656:5276868, ack 2773, win 570, length 212
20:35:29.294636 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5276868:5277080, ack 2773, win 570, length 212
20:35:29.294693 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5277080:5277292, ack 2773, win 570, length 212
20:35:29.294736 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5277292:5277504, ack 2773, win 570, length 212
20:35:29.294778 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5277504:5277716, ack 2773, win 570, length 212
20:35:29.294819 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5277716:5277928, ack 2773, win 570, length 212
20:35:29.294860 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5277928:5278140, ack 2773, win 570, length 212
20:35:29.294905 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5278140:5278352, ack 2773, win 570, length 212
20:35:29.294945 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5278352:5278564, ack 2773, win 570, length 212
20:35:29.294997 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [.], ack 5147132, win 17971, length 0
20:35:29.295035 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [.], ack 5171032, win 17973, length 0
20:35:29.295035 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [.], ack 5188416, win 17976, length 0
20:35:29.295035 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [P.], seq 2773:2845, ack 5188416, win 17976, length 72
20:35:29.295035 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [.], ack 5189688, win 17971, length 0
20:35:29.295035 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [.], ack 5190536, win 17973, length 0
20:35:29.295035 IP cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547 > comp3134-Winter2023.ssh: Flags [.], ack 5205164, win 17976, length 0
20:35:29.295325 IP comp3134-Winter2023.ssh > cpe9050cabc6ad3-cm9050cabc6ad0.cpe.net.cable.rogers.com.59547: Flags [P.], seq 5278564:5279864, ack 2845, win 570, length 1300
^C
25373 packets captured
25387 packets received by filter
14 packets dropped by kernel
root@comp3134-Winter2023:~#
