too long...

root@comp3134-Winter2023:~# 20:29:02.771708 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 610192:610348, ack 325, win 570, length 156
20:29:02.807752 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 677116:677272, ack 361, win 570, length 156
20:29:02.807812 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 677272:677428, ack 361, win 570, length 156
20:29:02.807861 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 677428:677584, ack 361, win 570, length 156
20:29:02.807907 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 677584:677740, ack 361, win 570, length 156
20:29:02.807955 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 677740:677896, ack 361, win 570, length 156
20:29:02.808004 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 677896:678052, ack 361, win 570, length 156
20:29:02.808054 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 678052:678208, ack 361, win 570, length 156
20:29:02.808185 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 678208:678364, ack 361, win 570, length 156
20:29:02.808250 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 678364:678520, ack 361, win 570, length 156
20:29:02.808301 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 678520:678676, ack 361, win 570, length 156
20:29:02.808403 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 678676:678832, ack 361, win 570, length 156
20:29:02.808467 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 678832:678988, ack 361, win 570, length 156
20:29:02.808643 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 678988:679144, ack 361, win 570, length 156
20:29:02.808702 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 679144:679300, ack 361, win 570, length 156
20:29:02.808748 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 679300:679456, ack 361, win 570, length 156
20:29:02.808795 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 679456:679612, ack 361, win 570, length 156
20:29:02.808844 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 679612:679768, ack 361, win 570, length 156
20:29:02.808893 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 679768:679924, ack 361, win 570, length 156
20:29:02.808939 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 679924:680080, ack 361, win 570, length 156
20:29:02.808986 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 680080:680236, ack 361, win 570, length 156
20:29:02.809035 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 680236:680392, ack 361, win 570, length 156
20:29:02.809106 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 680392:680548, ack 361, win 570, length 156
20:29:02.809159 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 680548:680704, ack 361, win 570, length 156
20:29:02.809211 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 680704:680860, ack 361, win 570, length 156
20:29:02.809260 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 680860:681016, ack 361, win 570, length 156
20:29:02.809305 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 681016:681172, ack 361, win 570, length 156
20:29:02.809350 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 681172:681328, ack 361, win 570, length 156
20:29:02.809396 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 681328:681484, ack 361, win 570, length 156
20:29:02.809442 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 681484:681640, ack 361, win 570, length 156
20:29:02.809487 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 681640:681796, ack 361, win 570, length 156
20:29:02.809538 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 681796:681952, ack 361, win 570, length 156
20:29:02.809587 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 681952:682108, ack 361, win 570, length 156
20:29:02.809638 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 682108:682264, ack 361, win 570, length 156
20:29:02.809689 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 682264:682420, ack 361, win 570, length 156
20:29:02.809739 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 682420:682576, ack 361, win 570, length 156
20:29:02.809871 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 682576:682732, ack 361, win 570, length 156
20:29:02.809944 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 682732:682888, ack 361, win 570, length 156
20:29:02.809995 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 682888:683044, ack 361, win 570, length 156
20:29:02.810059 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 683044:683200, ack 361, win 570, length 156
20:29:02.810131 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 683200:683356, ack 361, win 570, length 156
20:29:02.810205 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 683356:683512, ack 361, win 570, length 156
20:29:02.810277 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 683512:683668, ack 361, win 570, length 156
20:29:02.810351 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 683668:683824, ack 361, win 570, length 156
20:29:02.810602 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 683824:683980, ack 361, win 570, length 156
20:29:02.810744 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 683980:684136, ack 361, win 570, length 156
20:29:02.810802 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 684136:684292, ack 361, win 570, length 156
20:29:02.811227 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 684292:684448, ack 361, win 570, length 156
20:29:02.811304 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 684448:684604, ack 361, win 570, length 156
20:29:02.811363 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 684604:684760, ack 361, win 570, length 156
20:29:02.811413 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 684760:684916, ack 361, win 570, length 156
20:29:02.811458 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 684916:685072, ack 361, win 570, length 156
20:29:02.811508 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 685072:685228, ack 361, win 570, length 156
20:29:02.811557 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 685228:685384, ack 361, win 570, length 156
20:29:02.811603 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 685384:685540, ack 361, win 570, length 156
20:29:02.811654 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 685540:685696, ack 361, win 570, length 156
20:29:02.811702 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 685696:685852, ack 361, win 570, length 156
20:29:02.811885 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 685852:686008, ack 361, win 570, length 156
20:29:02.812038 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 686008:686164, ack 361, win 570, length 156
20:29:02.812105 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 686164:686320, ack 361, win 570, length 156
20:29:02.812167 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 686320:686476, ack 361, win 570, length 156
20:29:02.812236 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 686476:686632, ack 361, win 570, length 156
20:29:02.812384 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 686632:686788, ack 361, win 570, length 156
20:29:02.812443 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 686788:686944, ack 361, win 570, length 156
20:29:02.812695 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 686944:687100, ack 361, win 570, length 156
20:29:02.812758 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 687100:687256, ack 361, win 570, length 156
20:29:02.812805 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 687256:687412, ack 361, win 570, length 156
20:29:02.812855 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 687412:687568, ack 361, win 570, length 156
20:29:02.812907 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 687568:687724, ack 361, win 570, length 156
20:29:02.812943 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 687724:687880, ack 361, win 570, length 156
20:29:02.812977 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 687880:688036, ack 361, win 570, length 156
20:29:02.813024 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 688036:688192, ack 361, win 570, length 156
20:29:02.813060 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 688192:688348, ack 361, win 570, length 156
20:29:02.813190 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 688348:688504, ack 361, win 570, length 156
20:29:02.813231 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 688504:688660, ack 361, win 570, length 156
20:29:02.813266 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 688660:688816, ack 361, win 570, length 156
20:29:02.813305 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 688816:688972, ack 361, win 570, length 156
20:29:02.813340 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 688972:689128, ack 361, win 570, length 156
20:29:02.813374 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 689128:689284, ack 361, win 570, length 156
20:29:02.813410 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 689284:689440, ack 361, win 570, length 156
20:29:02.813455 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 689440:689596, ack 361, win 570, length 156
20:29:02.813504 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 689596:689752, ack 361, win 570, length 156
20:29:02.813555 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 689752:689908, ack 361, win 570, length 156
20:29:02.813605 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 689908:690064, ack 361, win 570, length 156
20:29:02.813658 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 690064:690220, ack 361, win 570, length 156
20:29:02.813702 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 690220:690376, ack 361, win 570, length 156
20:29:02.813751 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 690376:690532, ack 361, win 570, length 156
20:29:02.813798 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 690532:690688, ack 361, win 570, length 156
20:29:02.813848 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 690688:690844, ack 361, win 570, length 156
20:29:02.813902 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 690844:691000, ack 361, win 570, length 156
20:29:02.813952 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 691000:691156, ack 361, win 570, length 156
20:29:02.814000 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 691156:691312, ack 361, win 570, length 156
20:29:02.814062 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 691312:691468, ack 361, win 570, length 156
20:29:02.814126 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 691468:691624, ack 361, win 570, length 156
20:29:02.814164 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 691624:691780, ack 361, win 570, length 156
20:29:02.814180 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 650804, win 17976, length 0
20:29:02.814180 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 652416, win 17976, length 0
20:29:02.814270 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 691780:692144, ack 361, win 570, length 364
20:29:02.814322 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 692144:692300, ack 361, win 570, length 156
20:29:02.814561 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 692300:692456, ack 361, win 570, length 156
20:29:02.814637 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 692456:692612, ack 361, win 570, length 156
20:29:02.814701 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 655536, win 17976, length 0
20:29:02.814743 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 692612:692768, ack 361, win 570, length 156
20:29:02.814794 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 692768:693028, ack 361, win 570, length 260
20:29:02.814830 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 693028:693184, ack 361, win 570, length 156
20:29:02.814865 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 693184:693340, ack 361, win 570, length 156
20:29:02.814926 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 693340:693496, ack 361, win 570, length 156
20:29:02.814964 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 693496:693652, ack 361, win 570, length 156
20:29:02.814999 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 693652:693808, ack 361, win 570, length 156
20:29:02.815181 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 693808:693964, ack 361, win 570, length 156
20:29:02.815249 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 693964:694120, ack 361, win 570, length 156
20:29:02.815299 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 694120:694276, ack 361, win 570, length 156
20:29:02.815336 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 694276:694432, ack 361, win 570, length 156
20:29:02.815370 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 694432:694588, ack 361, win 570, length 156
20:29:02.815404 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 694588:694744, ack 361, win 570, length 156
20:29:02.815437 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 694744:694900, ack 361, win 570, length 156
20:29:02.815471 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 694900:695056, ack 361, win 570, length 156
20:29:02.815506 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 695056:695212, ack 361, win 570, length 156
20:29:02.815543 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 695212:695368, ack 361, win 570, length 156
20:29:02.815654 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 695368:695524, ack 361, win 570, length 156
20:29:02.815691 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 695524:695680, ack 361, win 570, length 156
20:29:02.815732 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 695680:695836, ack 361, win 570, length 156
20:29:02.815783 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 695836:695992, ack 361, win 570, length 156
20:29:02.815831 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 695992:696148, ack 361, win 570, length 156
20:29:02.815869 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 696148:696304, ack 361, win 570, length 156
20:29:02.815904 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 696304:696460, ack 361, win 570, length 156
20:29:02.815937 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 696460:696616, ack 361, win 570, length 156
20:29:02.815980 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 696616:696772, ack 361, win 570, length 156
20:29:02.816019 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 696772:696928, ack 361, win 570, length 156
20:29:02.816053 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 696928:697084, ack 361, win 570, length 156
20:29:02.816093 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 697084:697240, ack 361, win 570, length 156
20:29:02.816141 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 697240:697396, ack 361, win 570, length 156
20:29:02.816186 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 697396:697552, ack 361, win 570, length 156
20:29:02.816222 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 697552:697708, ack 361, win 570, length 156
20:29:02.816235 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 656004, win 17974, length 0
20:29:02.816299 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 697708:697968, ack 361, win 570, length 260
20:29:02.816346 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 697968:698124, ack 361, win 570, length 156
20:29:02.816584 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 698124:698280, ack 361, win 570, length 156
20:29:02.816644 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 698280:698436, ack 361, win 570, length 156
20:29:02.816679 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 698436:698592, ack 361, win 570, length 156
20:29:02.816714 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 698592:698748, ack 361, win 570, length 156
20:29:02.816748 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 698748:698904, ack 361, win 570, length 156
20:29:02.816781 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 698904:699060, ack 361, win 570, length 156
20:29:02.816816 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 699060:699216, ack 361, win 570, length 156
20:29:02.816866 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 699216:699372, ack 361, win 570, length 156
20:29:02.816933 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 699372:699528, ack 361, win 570, length 156
20:29:02.816985 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 699528:699684, ack 361, win 570, length 156
20:29:02.817024 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 699684:699840, ack 361, win 570, length 156
20:29:02.817074 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 699840:699996, ack 361, win 570, length 156
20:29:02.817120 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 699996:700152, ack 361, win 570, length 156
20:29:02.817166 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 700152:700308, ack 361, win 570, length 156
20:29:02.817209 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 700308:700464, ack 361, win 570, length 156
20:29:02.817243 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 700464:700620, ack 361, win 570, length 156
20:29:02.817346 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 700620:700776, ack 361, win 570, length 156
20:29:02.817390 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 700776:700932, ack 361, win 570, length 156
20:29:02.817423 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 700932:701088, ack 361, win 570, length 156
20:29:02.817457 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 701088:701244, ack 361, win 570, length 156
20:29:02.817490 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 701244:701400, ack 361, win 570, length 156
20:29:02.817523 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 701400:701556, ack 361, win 570, length 156
20:29:02.817559 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 701556:701712, ack 361, win 570, length 156
20:29:02.817593 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 701712:701868, ack 361, win 570, length 156
20:29:02.823516 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 656628, win 17971, length 0
20:29:02.823516 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 660268, win 17973, length 0
20:29:02.823516 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 664636, win 17976, length 0
20:29:02.823516 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 666352, win 17976, length 0
20:29:02.823516 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 670876, win 17971, length 0
20:29:02.823516 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 671344, win 17976, length 0
20:29:02.823516 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 671968, win 17973, length 0
20:29:02.823516 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 679612, win 17976, length 0
20:29:02.823584 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 701868:702024, ack 361, win 570, length 156
20:29:02.823712 IP 99.230.69.122.59547 > 159.203.27.150.22: Flags [.], ack 684292, win 17976, length 0
20:29:02.823975 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 702024:703116, ack 361, win 570, length 1092
20:29:02.824061 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 703116:703272, ack 361, win 570, length 156
20:29:02.824103 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 703272:703428, ack 361, win 570, length 156
20:29:02.824141 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 703428:703584, ack 361, win 570, length 156
20:29:02.824214 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 703584:703740, ack 361, win 570, length 156
20:29:02.824394 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 703740:703896, ack 361, win 570, length 156
20:29:02.824448 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 703896:704052, ack 361, win 570, length 156
20:29:02.824802 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 704052:704208, ack 361, win 570, length 156
20:29:02.824968 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 704208:704364, ack 361, win 570, length 156
20:29:02.825047 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 704364:704520, ack 361, win 570, length 156
20:29:02.825113 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 704520:704676, ack 361, win 570, length 156
20:29:02.825242 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 704676:704832, ack 361, win 570, length 156
20:29:02.825326 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 704832:704988, ack 361, win 570, length 156
20:29:02.825381 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 704988:705144, ack 361, win 570, length 156
20:29:02.825434 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 705144:705300, ack 361, win 570, length 156
20:29:02.825488 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 705300:705456, ack 361, win 570, length 156
20:29:02.825548 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 705456:705612, ack 361, win 570, length 156
20:29:02.825599 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 705612:705768, ack 361, win 570, length 156
20:29:02.825653 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 705768:705924, ack 361, win 570, length 156
20:29:02.825706 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 705924:706080, ack 361, win 570, length 156
20:29:02.825763 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 706080:706236, ack 361, win 570, length 156
20:29:02.825816 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 706236:706392, ack 361, win 570, length 156
20:29:02.825871 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 706392:706548, ack 361, win 570, length 156
20:29:02.825927 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 706548:706704, ack 361, win 570, length 156
20:29:02.825976 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 706704:706860, ack 361, win 570, length 156
20:29:02.826028 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 706860:707016, ack 361, win 570, length 156
20:29:02.826100 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 707016:707172, ack 361, win 570, length 156
20:29:02.826155 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 707172:707328, ack 361, win 570, length 156
20:29:02.826230 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 707328:707484, ack 361, win 570, length 156
20:29:02.826287 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 707484:707640, ack 361, win 570, length 156
20:29:02.826355 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 707640:707796, ack 361, win 570, length 156
20:29:02.826412 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 707796:707952, ack 361, win 570, length 156
20:29:02.826463 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 707952:708108, ack 361, win 570, length 156
20:29:02.826539 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 708108:708264, ack 361, win 570, length 156
20:29:02.826594 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 708264:708420, ack 361, win 570, length 156
20:29:02.826649 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 708420:708576, ack 361, win 570, length 156
20:29:02.826720 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 708576:708732, ack 361, win 570, length 156
20:29:02.826777 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 708732:708888, ack 361, win 570, length 156
20:29:02.826837 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 708888:709044, ack 361, win 570, length 156
20:29:02.826936 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 709044:709200, ack 361, win 570, length 156
20:29:02.826999 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 709200:709356, ack 361, win 570, length 156
20:29:02.827048 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 709356:709512, ack 361, win 570, length 156
20:29:02.827100 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 709512:709668, ack 361, win 570, length 156
20:29:02.827592 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 709668:709824, ack 361, win 570, length 156
20:29:02.827785 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 709824:709980, ack 361, win 570, length 156
20:29:02.827853 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 709980:710136, ack 361, win 570, length 156
20:29:02.827910 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 710136:710292, ack 361, win 570, length 156
20:29:02.828071 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 710292:710448, ack 361, win 570, length 156
20:29:02.828133 IP 159.203.27.150.22 > 99.230.69.122.59547: Flags [P.], seq 710448:710604, ack 361, win 570, length 156
